File Energy
H2O-1           -74.517052498174                 
H2O-2           -76.097322825631                 
H2O-3           -75.933166532710                 
H2O-4           -75.834157363807                 
H2O-5           -75.810755341842                 
H2O-6           -75.518687591390                 
H2O-7 
H2O-8           -75.502546828854                 
