File Energy
H2O-0 -74.8434411478
H2O-1 -76.4164545123
H2O-2 -76.2259662182
H2O-3 -76.0581526707
H2O-4 -75.9562210557
H2O-5 -75.8978485268
H2O-6 -75.8670706954
H2O-7 -75.8587062969
