File Energy
H2O-0 -66.169921537737508
H2O-1 -74.882643245152380
H2O-2 -76.057917198577584
H2O-3 -76.128001098439896
H2O-4 -76.025241776976571
H2O-5 -75.926055751083396
H2O-6 -75.861648018841890
H2O-7 -75.828256248694260
